	baltra	bartolome	beagle	caldwell	champion	cowley	crossman	daphne	darwin	eden	enderby	espanola	fernandina	floreana	gardner	genovesa	guy fawkes	isabela	marchena	onslow	pinta	pinzon	plaza	rabida	san cristobal	santa cruz	santa fe	santiago	seymour	sin nombre	tortuga	watson	wolf
Puffinus subalaris	401								3			1148	532	422		847		1104	23			37	971	341	1156	980	202	609	944				33
Fregata aquila														1																			2
Fregata magnificens	1053							2	5			1331	710	960		695		2434	21			28	782	510	3474	4533	378	1091	2060				39
Fregata ariel												1																					
Fregata minor	298								2			719	139	260		1717		525	6			16	271	125	1665	1062	108	271	1903				37
Sula sula	18								14			97	18	49		2015		95	15			5	24	4	417	121	11	25	182				54
Sula dactylatra												2				1							1										
Sula granti	256							1	8			2721	280	537		1877		1103	24		1	29	761	279	1496	627	278	597	636				49
Sula nebouxii	1094	1							4			2237	938	1261		449		3310	18		3	32	795	735	3875	3982	436	1539	2179				9
Nannopterum harrisi													1479	1		1		1721								4	3	2	1				
Platalea ajaja																									1								
Nyctanassa violacea	73											750	68	340		1087		581	11			1	36	49	1111	1343	35	880	115				1
Nycticorax nycticorax														1		1		1								15							
Egretta caerulea													3	39				4							6	15							
Egretta tricolor														4											24								
Egretta thula	7											5	4	22		1		22					7	1	44	138	4	6	9				
Butorides striata	361											785	839	631		381		1393	7			20	319	223	1671	2949	235	1367	578				2
Butorides sundevalli	4	1										47	54	55		13		207				1	10	10	180	514	6	87	16				
Butorides virescens																		1								2							
Bubulcus ibis	213											112	16	797		34		928				1	262	12	1002	5172	24	78	222				
Ardea alba	64											9	12	84		6		328					41	10	169	705	4	73	34				
Ardea herodias	220								1			63	524	601		24		914	2			6	65	61	971	3282	21	699	136				
Pelecanus occidentalis	1124	1										1281	1060	1055		690		3065	24		1	22	798	782	3264	5726	421	1572	1212				21
Pandion haliaetus	2											1	3	4		1		15							7	8		7					
Buteo galapagoensis	38											1982	1172	9		2		875	21		2	36	63	329	4	231	479	1209	26				
Tyto alba																										1							
Tyto furcata	21											3	3					52							25	1111		8					
Asio flammeus	9							1				38	9	117		1291		72	6		1	4	38	3	35	441	16	12					1
Megaceryle alcyon													2	2		1			1						2	4							
Falco peregrinus	1											6	1	9		1		5					4	17	19	9	1	18					
Psittacara erythrogenys																									1								
Syndactyla rufosuperciliata														2																			
Elaenia mesoleuca														1																			
Leptopogon amaurocephalus														1																			
Contopus virens																		2															
Pyrocephalus rubinus	4											1	16	41				1093	8		2	15	5	113	4	650	3	32	3				
Myiodynastes maculatus														2																			
Tyrannus tyrannus																		2								1	1						
Myiarchus swainsoni														1																			
Myiarchus magnirostris	64											417	44	1452		2		1164	13		3	13	40	481	1651	6310	190	713	103				1
Chiroxiphia caudata														1																			
Bombycilla cedrorum																1																	
Riparia riparia												18				1									5		1						
Progne tapera												1																					
Progne modesta	23											36	90	11				758					2	3	36	103	4	31	15				1
Progne subis												10		1		5		1			1				10								
Hirundo rustica	5											85	3	22		6		7					2	2	35	15	11	1	3				
Petrochelidon pyrrhonota												2													8		2						
Troglodytes aedon														2																			
Mimus parvulus	134								5			2	801	1		1536		2469	13		4	6	87	867	3	8230	672	1161	164				18
Mimus trifasciatus	4				15							4	1	252		20		6	5		5				6	40	1	5					2
Mimus macdonaldi												2378		2																			
Mimus melanotis																									3260	1	1						
Catharus ustulatus																										1							
Turdus leucomelas														1																			
Dolichonyx oryzivorus	1											6				3		1	1		1				5	2							
Quiscalus mexicanus																										3							
Gnorimopsar chopi														1																			
Parkesia noveboracensis																										3							
Setophaga aestiva														2											2	3							
Setophaga petechia	402								2			1148	900	1822		708		3967	13		2	9	821	580	4484	10162	371	1122	752				19
Piranga rubra	1																		1														
Piranga olivacea																			1								1						
Pheucticus ludovicianus																6																	
Tersina viridis														1																			
Tiaris olivaceus																1												1					
Certhidea olivacea	21											1	50			1		933	6		4	11	38	30		2886	3	42	22				
Certhidea fusca									1			1537		107		927		1	7		2				1159		146						3
Platyspiza crassirostris	23												6	8				259	7		2	4	9	5	459	2156		26	16				
Camarhynchus heliobates													9					185								1							
Camarhynchus pauper														815												1							
Camarhynchus pallidus	14												10	6				588			1		3		600	2552	9	19	9				
Camarhynchus parvulus	71												54	814				1155			1	3	33	69	1296	4225	50	117	73				1
Camarhynchus psittacula	16												16	69				272	7		1		5	12	163	1870	12	41	13				
Geospiza fuliginosa	1230											1578	470	1434		5		2893	23		19	28	679	592	3690	9020	390	917	866				
Geospiza difficilis									4				36			39					5							86					
Geospiza acutirostris																998																	
Geospiza septentrionalis									4																								34
Geospiza conirostris												1740				18																	
Geospiza propinqua																836																	
Geospiza magnirostris	87											2	20	7		1031		490	11		12	10	29	85	15	2798	25	165	74				4
Geospiza scandens	111				4			1				1		313		5		854	7		1	8	829	394	484	3140	326	96	76				
Geospiza fortis	851				2			6				4	149	886		3		1940	14		6	13	303	309	2598	6965	213	482	447				
Coryphospingus cucullatus														1																			
