gbifID	latlon	name	best	species
3855278741	santa cruz	-	santa cruz	Pectis linifolia
4145191676	santa cruz	santa cruz	santa cruz	Cordia lutea
3279374855	floreana	floreana	floreana	Fregata magnificens
1147231577	-	espanola	espanola	Zalophus wollebaeki
3207843224	isabela	isabela	isabela	Setophaga petechia
1212547284	-	santa cruz	santa cruz	Odontoschisma variabile
2180118039	floreana	floreana	floreana	Numenius phaeopus
3274924207	seymour	seymour	seymour	Fregata magnificens
3855281542	espanola	-	espanola	Vallesia glabra
1317334662	santa cruz	santa cruz	santa cruz	Psammocora stellata
3455790350	santa cruz	floreana	santa cruz	Commicarpus tuberosus
3632327790	san cristobal	san cristobal	san cristobal	Oceanites gracilis
2096271767	san cristobal	san cristobal	san cristobal	Sula nebouxii
2866833504	santa cruz	-	santa cruz	Microlophus albemarlensis
3194869484	isabela	isabela	isabela	Sula granti
3855265908	santa cruz	-	santa cruz	Scalesia crockeri
1185897910	santa cruz	santa cruz	santa cruz	Spatula discors
1287645216	marchena	-	marchena	Halichoeres dispilus
1154696355	santiago	santiago	santiago	Creagrus furcatus
2236828979	fernandina	isabela	fernandina	Amblyrhynchus cristatus
3644559690	isabela	isabela	isabela	Setophaga petechia
1318740115	-	-	-	Candacia bispinosa
3628764523	san cristobal	-	san cristobal	Arenaria interpres
4138264963	genovesa	genovesa	genovesa	Asio flammeus
2836129387	isabela	isabela	isabela	Geospiza fortis
3680349961	santa cruz	santa cruz	santa cruz	Platyspiza crassirostris
3583611023	santiago	santiago	santiago	Creagrus furcatus
3698123518	san cristobal	san cristobal	san cristobal	Microlophus bivittatus
1260408836	-	pinzon	pinzon	Cyperus elegans
2090913969	fernandina	-	fernandina	Tringa incana
3881998978	-	fernandina	fernandina	Scleractinia
2775445857	espanola	espanola	espanola	Creagrus furcatus
2753124029	rabida	rabida	rabida	Geospiza fuliginosa
2331553154	isabela	isabela	isabela	Zanthoxylum fagara
2217649300	san cristobal	san cristobal	san cristobal	Sula granti
3426424189	-	san cristobal	san cristobal	Mugil thoburni
1201812641	bartolome	bartolome	bartolome	Fregata minor
1402553226	santa cruz	santa cruz	santa cruz	Coccyzus melacoryphus
3337741430	santa cruz	santa cruz	santa cruz	Microlophus indefatigabilis
583696319	-	-	-	Mimus trifasciatus
2594443924	eden	-	eden	Neoterebra frigata
4070613328	santa cruz	santa cruz	santa cruz	Acrophasmus
3988755076	isabela	-	isabela	Chelonoidis niger
4103938052	-	santa cruz	santa cruz	Textularia lancea
3024673115	santa cruz	santa cruz	santa cruz	Cumingia lamellosa
1194192068	santa cruz	santa cruz	santa cruz	Geospiza fuliginosa
4096858981	santa cruz	santa cruz	santa cruz	Galapaganus howdenae
2058704239	isabela	isabela	isabela	Sula nebouxii
1318810187	-	santa cruz	santa cruz	Microcoleus lyngbyaceus
