Domain,Kingdom,Phylum or Division,Class,Order,Suborder,Superfamily,Family,Subfamily,Tribe or Section,Genus,Specific Epithtet,Infraspecific Epithet,Author,Origin,Suborigin,IUCN Status,Taxon Status,Darwin,Española,Fernandina,Floreana,Genovesa,Isabela,Marchena,Pinta,Pinzón,San Cristóbal,Santa Cruz,Santa Fé,Santiago,Unknown Island,Wolf,Elizabeth Bay/Bahía Elizabeth,Far-northern/Lejano Norte,Northern/Norte,South-eastern/Centro Sur,Unknown Bioregion,Western/Oeste,TaxonID,English Common Name,Spanish Common Name,Local Name,Taxonomic Comments,Distribution Comments,Spanish Distribution Comments,English Comments,Spanish Comments,English Description,Spanish Description
Eukaryota,Animalia,Chordata,Mammalia,Cetartiodactyla,Cetancodonta,Odontoceti,Ziphiidae,,,Ziphius,cavirostris,,"Cuvier, 1823",Na,Mi,LC,1,,,,,,True,,True,,,True,,,,,,,True,True,,True,5254,Cuvier´s beaked whale,ballena picuda de Cuvier,,"Syn.: Aliama desmarestii Gray, 1864, Aliama indica Gray, 1865, Delphinorhynchus australis Burmeister, 1865, Delphinus desmaresti Risso, 1826, Delphinus philippii Cocco, 1846, Epiodon australe Burmeister, 1867, Epiodon australis Gray, 1871, Epiodon chathamiensis Hector, 1873, Epiodon cryptodon Gray, 1870, Epiodon desmarestii Carus, 1893, Epiodon heraultii Gray, 1872, Epiodon patachonicum Burmeister, 1867, Hyperodon semijunctus Cope, 1865, Hyperondon semijunctus Hall & Kelson, 1959, Hyperoodon capensis Gray, 1865, Hyperoodon desmarestii Gray, 1850, Hyperoodon doumetii Gray, 1850, Hyperoodon gervaisii Duvernoy, 1851, Petrorhynchus capensis Gray, 1865, Petrorhynchus indicus Gray, 1865, Petrorhynchus mediterraneus Gray, 1871, Ziphiorrhynchus cryptodon Burmeister, 1865, Ziphius aresques Gray, 1871, Ziphius australis Trouessart, 1904, Ziphius cavirostris indicus Deraniyagala, 1945, Ziphius chatamensis Lahille, 1899, Ziphius chathamensis Flower, 1885, Ziphius chathamiensis Iredale & Troughton, 1934, Ziphius cryptodon Fischer, 1857, Ziphius decavirostris Gray, 1871, Ziphius grebnitzkii Stejneger, 1883, Ziphius indicus Van Beneden, 1863, Ziphius novaezealandiae Haast, 1876, Ziphius savii Richiardi, 1873, Zyphius chathamensis Moreno, 1895, fide Appeltans et al. (2010)",,,,,,
Eukaryota,Animalia,Chordata,Mammalia,Chiroptera,,,Vespertilionidae,,,Lasiurus,borealis,brachyotis,"(Müller, 1776)",Na,En,NE,1,,,,,,,,,,,True,,,,,,,,True,,,5220,"Red bat, Galápagos bat",Murciélago rojo,,"Syn.: Lasiurus borealis Müller, 1776, Atalapha brachyotis Peters, 1871, Nycteris borealis Borkhausen, 1797",Santa Cruz and San Cristobal Islands. In Floreana Island was recorded a fossil,,,,,
Eukaryota,Animalia,Chordata,Mammalia,Chiroptera,,,Vespertilionidae,,,Lasiurus,cinereus,,"(Palisot de Beauvois, 1796)",Na,Id,LC,1,,,,True,,True,,,,True,True,,True,,,,,,True,,True,5221,Hoary bat,Murciélago negro,,"Syn.: Atalapha cinereus Peters, 1871, Nycteris cinereus Borkhausen, 1797","Present on Santa Cruz, San Cristobal, Floreana, Isabela and Santiago Islands",,,,,
Eukaryota,Animalia,Chordata,Mammalia,Didelphimorphia,,,Didelphidae,,,Didelphis,marsupialis,,"Linnaeus, 1758",In,Ac,LC,1,,,,,,,,,,,,,,True,,,,,,True,,18479,Black eared / common opossum,Zariguella de orejas negras común,,,"It was intercepted on Puerto Ayora, Santa Cruz Island.",,,,,
Eukaryota,Animalia,Chordata,Mammalia,Lagomorpha,,,Leporidae,,,Oryctolagus,cuniculus,,"Linnaeus, 1758",In,Cu,,1,,,,,,,,,,True,True,,,,,,,,True,,,5238,Rabit,Conejo doméstico,,,"No recent records, but previously recorded Santa Cruz; still present on San Cristobal (feral and domestic) on farmis in the transition zone",,It was recorded in 1989 on Santa Cruz Island in the farms. No records in the wild. Recorded (feral and domestic) in Transition zone - farms - in 2012.,Este individuo fue registrado en la isla de Santa Cruz en las fincas. No hubo registro de animales ferales. Registro en San Cristobal de individuos ferales y en granjas (Zona de transicion) registrados en 2012.,,
Eukaryota,Animalia,Chordata,Mammalia,Perissodactyla,,,Equidae,,,Equus,asinus,,"Linnaeus, 1758",In,Es,,1,,,,True,,True,,,,True,True,,True,,,,,,True,,True,5209,Donkey,"Burro, Asno",Burro,,"Present in Floreana, San Cristobal, Isabela South (Sierra Negra Volcano) and Santa Cruz islands. It was eradicated from Santiago Island and Alcedo volcano on Isabela Island. Also all the feral animals of Floreana Island were eradicated.","Presente en las islas Floreana, San Cristóbal, Isabela Sur (Volcán Sierra Negra) y Santa Cruz. Fue erradicado de la isla Santiago, del volcán Alcedo, en la isla Isabela y los animales ferales de la isla Floreana.",,,"E. asinus is a quadruped, its body is small and robust. It measures between 190-200 cm long with a long straight tail about 40-50 cm long. Height at the shoulder depends largely on the breed of the animal, but it can be between 92-150 cm. They weigh about 450 kg. Their coat can be straight, curly, short or long and woolly. The most common color is gray, but can also be brown and even black or white, with a dark dorsal stripe on the mane and tail. Its head is large with long ears, its mane is short and curled without the characteristic tuft of horses. It has a hoof at each limb, which is longer and narrower than that of the horses. Wild donkeys live in small groups with a dominant male and three to four females. In the wild, they can live an average of 25 years, and domesticated they reach 40 years. The donkeys have a very loud braying which allows them to communicate over long distances.","E. asinus es un  cuadrúpedo, su cuerpo es pequeño y robusto, mide entre 190 a 200 cm de longitud, la cola larga y recta de unos 40 a 50 cm, su altura hasta el hombro dependerá mucho de la raza del animal, pero puede ser entre 92 a 150 cm, con un peso aproximado de 450 Kg. Su pelaje puede ser liso, rizado, corto y fuerte o largo y lanoso. El color más común es el gris, pero también puede ser marrón e inclusive negro o blanco, con una franja dorsal oscura en la melena y la cola.  Su cabeza es grande con orejas largas, su crin es corta y encrespada, sin el mechón característico de los caballos. Posee una pezuña en cada extremidad, que es la más larga y estrecha del grupo de los equinos. Los burros salvajes viven en pequeños grupos, con un macho dominante y tres a cuatro hembras. En estado salvaje llega a vivir un promedio de 25 años, doméstico alcanzan los 40 años. Los burros emiten rebuznos muy altos que les permite mantenerse en contacto a largas distancias."
Eukaryota,Animalia,Chordata,Mammalia,Perissodactyla,,,Equidae,,,Equus,caballus,,"Linnaeus, 1758",In,Ac,,1,,,,True,,True,,,,True,True,,,,,,,,True,,True,5210,Horse,"equino, caballo",,,"Present on Santa Cruz, Isabela, San Cristobal and Floreana",,,,,
Eukaryota,Animalia,Chordata,Mammalia,Pinnipedia,,,Otariidae,,,Arctocephalus,galapagoensis,,"Heller, 1904",Na,En,EN,1,,True,True,,,True,,,,True,True,,True,,,,,,True,,True,5200,Galapagos Fur Seal,Lobo marino de dos pelos,,,,,,,,
Eukaryota,Animalia,Chordata,Mammalia,Pinnipedia,,,Otariidae,,,Otaria,flavescens,,"Shaw, 1800",Na,Va,,1,,,,,True,,,True,,,True,,True,,,,,True,True,,,5325,Shouthern Sealion,Lobo marino Sudamericano,,,,,,,,
Eukaryota,Animalia,Chordata,Mammalia,Pinnipedia,,,Otariidae,,,Zalophus,wollebaeki,,"Sivertsen, 1953",Na,En,EN,1,,True,True,True,,True,True,True,,True,True,True,True,,,True,,True,True,,True,5253,Galapagos Sea lion,lobo marino de un pelo,lobo marino,"Syn.: Zalophus californianus wollebaeki Sivertsen, 1953",,,,,,
Eukaryota,Animalia,Chordata,Mammalia,Primates,,,Cebidae,,,Saguinus,oedipus,,"Linnaeus, 1758",In,Ic,CR,1,,,,,,,,,,True,,,,,,,,,True,,,5246,Squirrel Monkey,Mono cabeza de algodón,,,Intercepted on San Cristobal Island.,,,,,
Eukaryota,Animalia,Chordata,Mammalia,Primates,,,Hominidae,,,Homo,sapiens,sapiens,"Linnaeus, 1758",In,Cu,,1,,,,True,,True,,,,True,True,,True,,,,,,True,,True,11002,Modern Human,Humano moderno,,,"Established populations are restricted to towns on Santa Cruz, San Cristobal, Isabela, and Floreana. 170,000 tourists visit the archipelago per year.",,"The human is a large omnivorous bipedal ape, with an enlarged brain case.  A communal, highly adaptable and intelligent species, it is normally monogamous with 1-7 children per pair.",,"The human is a large omnivorous bipedal ape, with an enlarged brain case.  A communal, highly adaptable and intelligent species.","El ser humano es un gran simio omnívoros bípedos, con un cerebro amplio. Una especie que vive en comunidad, altamente adaptable e inteligente, normalmente es monógama, con 1-7 hijos por pareja."
Eukaryota,Animalia,Chordata,Mammalia,Rodentia,,,Caviidae,,,Cavia,porcellus,,"Linnaeus, 1758",In,Ac,,1,,,,,,True,,,,True,True,,,,,,,,True,,True,5207,Guinea pig,cuy,,,"Present on Santa Cruz, San Cristobal and Isabela",,"The first record was in 1984 in the farming area in Santa Cruz Island, San Cristobal and Islabela. No recorded in wildlife. The present population status is unknow.","El primer registro fue en 1984 en la zona de fincas en la Isla Santa Cruz, San Cristobal e Isabela. No existen individuos en estado silvestre. Se desconoce el estado poblacional en la actualidad.",,
Eukaryota,Animalia,Chordata,Mammalia,Rodentia,,,Muridae,,,Aegialomys,bauri,,"(Allen, 1892)",Na,En,VU,1,,,,,,,,,,,,True,,,,,,,True,,,5199,Santa Fe - Rice rat,Rata de Santa Fe,,"Syn.: Oryzomys galapagoensis bauri (Allen, 1892) [previous versions of the checklist erroneoulsy cited this synonym as Oryzomys galapagoensis bauri Wilson & Reeder, 2005, but this name does not exist, instead the species is listed in Wilson & Reeder (2005) who did not publish that name]; Oryzomys bauri Allen, 1892",Present only in Santa Fe Island.,,,,,
Eukaryota,Animalia,Chordata,Mammalia,Rodentia,,,Muridae,,,Aegialomys,galapagoensis,,"(Waterhouse, 1839)",Na,En,EX,1,,,,,,,,,,,True,,,,,,,,True,,,16794,San Cristobal - Rice rat,Rata de San Cristóbal,,"Syn.: Oryzomys galapagoensis (Waterhouse, 1839), Oryzomys galapagoensis galapagoensis Waterhouse, 1839","Extinct in Galapagos, was present in San Cristobal Island.",,,,,
Eukaryota,Animalia,Chordata,Mammalia,Rodentia,,,Muridae,,,Megaoryzomys,curioi,,"Niethammer, 1964",Na,En,EX,1,,,,,,,,,,,True,,,,,,,,True,,,5222,"Santa Cruz and Isabela Galapagos rat, giant Galápagos rice rat",Rata gigante de Santa Cruz e Isabela,,,It was present in Santa Cruz Island,,,,,
Eukaryota,Animalia,Chordata,Mammalia,Rodentia,,,Muridae,,,Megaoryzomys,sp. 1,,,Na,En,EX,3,,,,,,,,,,,True,,,,,,,,True,,,5223,Isabela Galapagos rat,Rata gigante de Isabela,,,It was present in Isabela Island.,,,,,
Eukaryota,Animalia,Chordata,Mammalia,Rodentia,,,Muridae,,,Mus,musculus,,"(Linnaeus, 1758)",In,Ac,,1,,,,True,,True,,,,True,True,,True,,,,,,True,,True,5228,House mouse,"Ratón, ratón casero, pulpero","Ratón, pulpero","Syn: Mus abbotti Waterhouse, 1837, Mus domesticus Rutty, 1772. Includes domesticus as a subspecies (Wilson and Reeder 2005). All Philippine populations of Mus are now placed in the species M. musculus (subspecies castaneus) and the species is considered to be non-native (Marshall 1977).","It has been reported on the islands Santiago, Santa Cruz, Isabela, San Cristóbal, Florena, Baltra, North Seymour, South Plaza, North Plaza. It has also been reported in the islets Eden, Champion, Mosquera, Venice, Punta Bowditch North and South. In South Plaza Island, mice poisoning was performed. T","Se ha reportado en la isla Santiago, Santa Cruz, Isabela, San Cristóbal, Florena, Baltra, Seymour Norte, Plaza Sur, Plaza Norte. Y en los islotes Edén, Champion, Mosquera, Venecia, Punta Bowditch Norte y Sur. En la isla Plaza Sur, se realizó envenenamiento de ratones, a la fecha (junio 2014) no se c",,,"Mice are small rodents that do not exceed 20 cm in total length, and its tail (6 to 10.5 cm) is longer than the body (6 - 9.5 cm). It has an approximate weight of 12-30 g, prominent black eyes, round ears and a pointed snout with long whiskers. Fur color varies from brown to black with white belly and gray, and the tail has a lighter color than the body. Its sense of sight is poorly developed, but their hearing and smell are very sensitive, to help it escape danger and find food. Adults have sexual dimorphism that is not visually detectable in plain sight, but detectable with direct manipulation of the animals. The testes of the male are large in proportion to the body. Females have five pairs of mammary glands with nipples, males lack these. Mus musculus is active at dusk or at night, it avoids bright lights. It is territorial and lives in colonies.","Los ratones son pequeños roedores, no superan los 20 cm de largo total, su cola (6 - 10,5 cm) es más larga que el cuerpo (6 - 9,5cm). Peso aproximado de 12 a 30 gr, ojos negros prominentes, orejas redondas y hocico puntiagudo con bigotes largos. El color del pelaje varía, desde marrón a negro con vientre blanco o gris. El color de la cola más claro que el cuerpo. Su sentido de la vista es poco desarrollado, sin embargo su oído y olfato son muy sensibles, le ayudan a escapar del peligro y encontrar sus alimentos. Los adultos tienen dimorfismo sexual no detectable a simple vista, pero si con manipulación directa de los animales. Los testículos del macho son grandes en proporción al cuerpo. Las hembras poseen cinco pares de glándulas mamarias con pezones, los machos carecen de estos. Mus musculus es activo al crepúsculo o durante la noche, evita las luces intensas. Es territorial y vive en colonias."
Eukaryota,Animalia,Chordata,Mammalia,Rodentia,,,Muridae,,,Nesoryzomys,darwini,,"Osgood, 1929",Na,En,EX,1,,,,,,,,,,,True,,,,,,,,True,,,5229,Darwin´s Galapagos mouse,Raton de Darwin,,,"It was present in Santa Cruz Island, and the last collected was in 1930",,,,,
Eukaryota,Animalia,Chordata,Mammalia,Rodentia,,,Muridae,,,Nesoryzomys,fernandinae,,"Hutterer & Hirsch, 1979",Na,En,VU,1,,,True,,,,,,,,,,,,,,,,,,True,5230,"Fernandina Galapagos mouse, Darwin's rice rat",Raton de Fernandina,,,Present in Fernandina Island,,,,,
Eukaryota,Animalia,Chordata,Mammalia,Rodentia,,,Muridae,,,Nesoryzomys,indefessus,,"(Thomas, 1899)",Na,En,EX,1,,,,,,,,,,,True,,,,,,,,True,,,5231,Indefatigable Galapagos mouse,Raton de Santa Cruz,,,It was present in Santa Cruz and Baltra Islands. The last collected were in 1934 and 1929 respectively.,,,,,
Eukaryota,Animalia,Chordata,Mammalia,Rodentia,,,Muridae,,,Nesoryzomys,narboroughi,,"Heller, 1904",Na,En,VU,1,,,True,,,,,,,,,,,,,,,,,,True,5232,Fernandina Rice rat,Rata de Fernandina,,,Present in Fernandina Island,,,,,
Eukaryota,Animalia,Chordata,Mammalia,Rodentia,,,Muridae,,,Nesoryzomys,sp. 1,,,Na,En,EX,3,,,,,,,,,,,True,,,,,,,,True,,,5235,Rabida Galapagos mouse,Raton de Rábida,,,It was present in Rabida Island.,,,,,
Eukaryota,Animalia,Chordata,Mammalia,Rodentia,,,Muridae,,,Nesoryzomys,sp. 2,,,Na,En,EX,3,,,,,,,,,,,True,,,,,,,,True,,,5233,Isabela Galapagos mouse 2,Raton de Isabela 2,,,It was present in Isabela Island.,,,,,
Eukaryota,Animalia,Chordata,Mammalia,Rodentia,,,Muridae,,,Nesoryzomys,sp. 3,,,Na,En,EX,3,,,,,,,,,,,True,,,,,,,,True,,,5234,Isabela Galapagos mouse 3,Raton de Isabela 3,,,It was present in Isabela Island.,,,,,
Eukaryota,Animalia,Chordata,Mammalia,Rodentia,,,Muridae,,,Nesoryzomys,swarthi,,"Orr, 1938",Na,En,VU,1,,,,,,,,,,,,,True,,,,,,True,,,5236,Santiago Galapagos Rice Rat,Rata de Santiago,,,Present in Santiago Island.,,,,,
Eukaryota,Animalia,Chordata,Mammalia,Rodentia,,,Muridae,,,Rattus,norvegicus,,"Berkenhout, 1769",In,Ac,,1,,,,True,,True,,,,True,True,,True,,,,,,True,,True,5244,"Norwegian rat, brown rat, Norway rat","Rata Noruega, Rata de Noruega, Rata gris",Rata Noruega,"Syn: Epimys norvegicus Miller, 1912, Mus decumanus Pallas, 1778, Mus hibernicus Thompson, 1837, Mus norvegicus Berkenhout, 1769","Santa Cruz, San Cristóbal, Isabela, Floreana, Baltra, Rábida, Santiago.","Santa Cruz, San Cristóbal, Isabela, Floreana, Baltra, Rábida, Santiago",,,"It is a large and robust rodent with long thick legs, it can reach up to 45 cm in total length (tail and body). Males are larger than females. Their sense of smell, touch and hearing are highly developed, but their sense of sight is not. Its fur is grayish brown dorsally, and the ventral side is grayish white or yellowish. The ears are short and slightly hairy. The muzzle is blunt with short thick bristles. The tail is hairless and shorter than the length of the body and head. Females have 5-6 pairs of mammae. They are active at night, poor climbers, and usually associated with humans. The average life span of R. norvegicus is four years in captivity.","Es un roedor de gran tamaño, robusto, de patas largas y gruesas, puede alcanzar hasta 45 cm de largo total (cola y cuerpo), los machos son más grandes que las hembras. Los sentidos del olfato, tacto y el oído están muy desarrollados, no así su sentido de la vista. Su pelo es de color marrón grisáceo en la parte dorsal, la parte ventral es blanca grisácea o amarillenta. Las orejas son cortas y ligeramente peludas. El hocico es embotado, con bigotes cortos y gruesos. La cola carece de pelo y es más corta que la longitud de cuerpo y la cabeza. La hembra posee 5-6 pares de tetas. Activos durante la noche, no son buenos escaladores, y se encuentran generalmente asociados con los seres humanos. El promedio de vida máxima de R. norvegicus es de cuatro  años en cautiverio."
Eukaryota,Animalia,Chordata,Mammalia,Rodentia,,,Muridae,,,Rattus,rattus,,"Linnaeus, 1758",In,Ac,,1,,,True,True,,True,True,,True,True,True,,True,,,,,True,True,,True,5245,"Black Rat, Old World rats","Rata negra, rata de barco, rata de tejado, rata común, pericote, rata de buque, rata de barco.",Rata negra,,"This species is widely distributed in the archipelago. It is found in Baltra, Bartholomew, Florena, Isabela, Santa Cruz, San Cristobal, North Seymour, Pinzón, and Santiago islands. Also present in the islets: Albany, Cousins, Eden, Sombrero Chino, Shark Cove North and South, Beagle Crater 1, 2, 3 an","Esta especie está ampliamente distribuida en el archipiélago, se la encuentra en las islas Baltra, Bartolomé, Florena, Isabela, Santa Cruz, San Cristóbal, Seymour Norte, Pinzón, Santiago. También presente en los islotes: Albany, Cousins, Edén, Sombrero Chino, Caleta Tiburón Norte y Sur, Crater Beagl",,,"It is a thin rodent. Its body measures 16 to 22 cm. long. Their average weight is 150 to 230 g. The coat is gray - black or gray, almost black back towards the tail and light gray, pale yellow or white on the underside. The tail is longer than the body and it measures from 17-24 cm. The tail is hairless but covered with scales that form rings. The ears are large, wide and thin; and the snout is pointy. They have a short life span from 3 to 5 years.","Es un roedor delgado, su cuerpo mide de 16 a 22 cm de longitud, su peso promedio es de 150 y 230 g. El pelaje es grisáceo - negro o gris, con el dorso casi negro hacia la cola y sobre el vientre un color gris ligero, amarillo pálido o blanco. La cola es más larga que el cuerpo, mide de 17 a 24 cm, sin pelos pero cubierta de escamas que forman anillos. Las orejas son grandes, amplias y delgadas,  el hocico tiene forma de punta.  Tienen un promedio de vida corto, viven entre 3 a 5 años."
