Domain,Kingdom,Phylum or Division,Class,Order,Suborder,Superfamily,Family,Subfamily,Tribe or Section,Genus,Specific Epithtet,Infraspecific Epithet,Author,Origin,Suborigin,IUCN Status,Taxon Status,Darwin,Española,Fernandina,Floreana,Genovesa,Isabela,Marchena,Pinta,Pinzón,San Cristóbal,Santa Cruz,Santa Fé,Santiago,Unknown Island,Wolf,Elizabeth Bay/Bahía Elizabeth,Far-northern/Lejano Norte,Northern/Norte,South-eastern/Centro Sur,Unknown Bioregion,Western/Oeste,TaxonID,English Common Name,Spanish Common Name,Local Name,Taxonomic Comments,Distribution Comments,Spanish Distribution Comments,English Comments,Spanish Comments,English Description,Spanish Description
Eukaryota,Animalia,Chordata,Aves,Podicipediformes,,,Podicipedidae,,,Podilymbus,podiceps,,"Linnaeus, 1758",Na,Mi,LC,1,,,,True,,True,,,,True,True,,,,,,,,True,,True,5158,Pied-Billed Grebe,Sormomujo,,,,,"The species appears to be regular in Galapagos, although never abundant.",,,
Eukaryota,Animalia,Chordata,Aves,Procellariiformes,,,Diomedeidae,,,Diomedea,epomophora,,"Lesson, 1825",Na,Hy,VU,1,,,,,,,,,,,True,,,,,,,,True,,,5078,Southern Royal Albatross,Albatros real,,,,,,,,
Eukaryota,Animalia,Chordata,Aves,Procellariiformes,,,Diomedeidae,,,Diomedea,exulans,,"Linnaeus, 1758",Na,Hy,VU,1,,,,,,,,,,,True,,,,,,,,True,,,5079,Wandering Albatross,Albatros paseador,,,,,,,,
Eukaryota,Animalia,Chordata,Aves,Procellariiformes,,,Diomedeidae,,,Phoebastria,irrorata,,"(Salvin, 1883)",Na,En,CR,1,,True,True,,True,True,,,,,True,True,,,,,,True,True,,True,5149,Waved Albatross,Albatros de Galápagos,Albatros de Galápagos,"Syn.: Diomedea irrorata Salvin, 1883","Present on Española Island. A few pair on Genovesa without reproduce success, and few pair on La Plata Island (Manabí Province).",Presente en Española. Pocas parejas en Genovesa y en la isla de La Plata Island (Provincia de Manabí).,,"Información adicional Venegas, L.",,"Es la ave más grande del archipiélago, el cuello es de color blanco, pico amarillo, cejas negras pronunciadas, alas en la parte superior color marrón oscuro. <br>El macho es más grande que la hembra."
Eukaryota,Animalia,Chordata,Aves,Procellariiformes,,,Diomedeidae,,,Phoebastria,nigripes,,"(Audubon, 1839)",Na,Va,NT,1,,,,,,,,,,,True,,,,,,,,True,,,5150,Black-footed Albatross,Albatros pies negros,,,"Recorded in Santa Cruz Island, 13 September 1974.",,,,,
Eukaryota,Animalia,Chordata,Aves,Procellariiformes,,,Diomedeidae,,,Thalassarche,melanophrys,,"(Temminck, 1828)",Na,Va,NT,1,,,,,,,,,,,True,,,,,,,,True,,,5187,Black-browed Albatross,albatros ceja negra,,,"Wiedenfeld (2006): The origin of this record is undocumented. But Castro & Phillips (1996): Recorded once in the archipelago's waters, and listed as vagrant.",,,,,
Eukaryota,Animalia,Chordata,Aves,Procellariiformes,,,Hydrobatidae,,,Fregetta,grallaria,,"Vieillot, 1818",Na,Va,LC,1,,,,,,,,,,,True,,,,,,,,True,,,5087,White-bellied Storm Petrel,Bailarín,,,,,,,,
Eukaryota,Animalia,Chordata,Aves,Procellariiformes,,,Hydrobatidae,,,Oceanites,gracilis,galapagoensis,"Lowe, 1921",Na,En,NE,1,,,,True,,True,,,True,True,True,True,True,,,,,,True,,True,5127,"Elliot's Storm Petrel, white-vented storm petrel",Golondrina de Elliot,,"Syn.: Oceanites gracilis  (Elliot, 1859)",Common resident on almost all Islands.,,,,,
Eukaryota,Animalia,Chordata,Aves,Procellariiformes,,,Hydrobatidae,,,Oceanodroma,castro,,"Harcourt, 1851",Na,Id,LC,1,,True,,True,,True,,True,,,True,,True,,,,,True,True,,True,5128,"Band-rumped Storm Petrel, Madeiran storm petrel",golondrina de Madeira,,,"Nests on various, generally small, islands in the archipelago",,,,,
Eukaryota,Animalia,Chordata,Aves,Procellariiformes,,,Hydrobatidae,,,Oceanodroma,hornbyi,,"Gray, 1854",Na,Hy,DD,1,,,,,,,,,,,True,,,,,,,,True,,,5129,Ringed Storm Petrel,Golondrina de mar de collar,,,,,,,,
Eukaryota,Animalia,Chordata,Aves,Procellariiformes,,,Hydrobatidae,,,Oceanodroma,leucorhoa,,"Vieillot, 1818",Na,Va,LC,1,,,,,,,,,,,True,,,,,,,,True,,,5130,Leach's Storm Petrel,Golondrina de mar,,,,,,,,
Eukaryota,Animalia,Chordata,Aves,Procellariiformes,,,Hydrobatidae,,,Oceanodroma,markhami,,"Salvin, 1883",Na,Va,DD,1,,,,,,,,,,,True,,,,,,,,True,,,5131,Markham's (Sooty) Storm Petrel,Golondrina de Markham,,,,,,,,
Eukaryota,Animalia,Chordata,Aves,Procellariiformes,,,Hydrobatidae,,,Oceanodroma,melania,,"Bonaparte, 1854",Na,Va,LC,1,,,,,,,,,,,True,,,,,,,,True,,,5132,Black Storm Petrel,Golondrina Negra,,,,,,,,
Eukaryota,Animalia,Chordata,Aves,Procellariiformes,,,Hydrobatidae,,,Oceanodroma,tethys,tethys,"(Bonaparte, 1854)",Na,En,NE,1,,,True,True,True,True,,,,True,True,,True,,,,,True,True,,True,5133,"Wedge-rumped storm petrel, Galápagos storm petrel",Golondrina de Tormenta de Galápagos,,"Syn.: Oceanodroma tethys (Bonaparte, 1852)","Nests on Genovesa, Pitt Islet, and probably on Redonda Rock.",,,,,
Eukaryota,Animalia,Chordata,Aves,Procellariiformes,,,Hydrobatidae,,,Pelagodroma,marina,,"Latham, 1790",Na,Va,LC,1,,,,,,,,,,,True,,,,,,,,True,,,5139,White-faced Storm Petrel,Golondrina cariblanca,,,,,,,,
Eukaryota,Animalia,Chordata,Aves,Procellariiformes,,,Procellaridae,,,Daption,capense,,"Linnaeus, 1758",Na,Va,LC,1,,True,,True,True,True,True,,,,True,,,,,,,True,True,,True,5074,Cape Petrel,Petrel del Cabo,,,,,,,,
Eukaryota,Animalia,Chordata,Aves,Procellariiformes,,,Procellaridae,,,Fulmarus,glacialoides,,"Smith, 1840",Na,Hy,LC,1,,,,,,,,,,,True,,,,,,,,True,,,5089,Southern fulmar,Petrel plateado,,,,,,,,
Eukaryota,Animalia,Chordata,Aves,Procellariiformes,,,Procellariidae,,,Ardenna,carneipes,,"Gould, 1844",Na,Hy,LC,1,,,,,,,,,,,,,,True,,,,,,True,,18492,Flesh-footed Shearwater,Fardela negruzca,,"Syn.: Puffinus carneipes  Gould, 1844",,,,,,
Eukaryota,Animalia,Chordata,Aves,Procellariiformes,,,Procellariidae,,,Ardenna,creatopus,,"Coues, 1864",Na,Hy,VU,1,,,,,,,,,,,,,,True,,,,,,True,,18493,Pink-footed Shearwater,Fardela blanco,,"Syn.: Puffinus creatopus  Coues, 1864",,,,,,
Eukaryota,Animalia,Chordata,Aves,Procellariiformes,,,Procellariidae,,,Ardenna,grisea,,"Gmelin, 1789",Na,Va,NT,1,,,,,,,,,,,,,,True,,,,,,True,,18494,Sooty Shearwater,Pufino negro,,"Syn.: Puffinus griseus  Gmelin, 1789",,,,,,
Eukaryota,Animalia,Chordata,Aves,Procellariiformes,,,Procellariidae,,,Ardenna,pacifica,,"Gmelin, 1789",Na,Va,LC,1,,,,,,,,,,,,,,True,,,,,,True,,18495,Wedge-tailed Shearwater,Pardela del Pacífico,,"Syn.: Puffinus pacificus  Gmelin, 1789",,,,,,
